GID_1,total_pop_SUM,urban_pop_SUM,prp_urban_pop
EGY.1_1,6166389.7231,4613221.183450001,0.748123519694
EGY.2_1,321925.4156,143436.394146,0.445557844132
EGY.3_1,5955676.12056,4040277.7706299988,0.6783911161120001
EGY.4_1,3307430.7521599997,2531521.809209999,0.765404327077
EGY.5_1,4935891.11404,3888218.46185,0.787743970038
EGY.6_1,4883529.405130001,4732069.377610002,0.968985539974
EGY.7_1,1212132.0235600001,785965.8121439999,0.648416011513
EGY.8_1,9127747.3188,8775017.35606,0.961356296311
EGY.9_1,4078267.7735900003,2682980.83426,0.657872651628
EGY.10_1,5303486.735359998,3995942.8659099992,0.753455804701
EGY.11_1,8512284.528560001,8320785.669209999,0.977503235623
EGY.12_1,5257082.461639999,4762059.60306,0.905836961434
EGY.13_1,2463520.46072,1908834.7877200001,0.774840241092
EGY.14_1,231945.108448,73379.083725,0.316364006191
EGY.15_1,642373.7981489999,455245.329666,0.70869224582
EGY.16_1,6763173.1057,4678660.13326,0.6917847673180001
EGY.17_1,1473422.3215700001,901648.983959,0.611941987548
EGY.18_1,4386362.11091,2894209.91987,0.659820107572
EGY.19_1,2937682.4323,1969815.14141,0.670533724051
EGY.20_1,683877.7100890001,623933.3851260003,0.912346426739
EGY.21_1,1396832.2106499998,1198584.05816,0.8580730377069999
EGY.22_1,162460.86187,47121.968689,0.29005120462
EGY.23_1,3297424.8056100006,2067085.00292,0.626878587012
EGY.24_1,454749.787486,210826.724106,0.463610385112
EGY.25_1,2630037.61665,1788512.43375,0.680033024025
EGY.26_1,457963.7567529999,154633.75144299993,0.33765499815800004
EGY.27_1,4729617.43466,3595802.19789,0.760273372544
